id,author,genre,title,word,frequency,rank,log_rank,log_freq
realism_0,zola,realism,zola_Zola-Marseille.epub,somme,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,fois,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,fond,27,155,2.1903316981702914,1.4313637641589874
realism_0,zola,realism,zola_Zola-Marseille.epub,yeux,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,matin,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,girousse,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,trois,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,garçon,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,rostand,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,eh,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,quon,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,après,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,monde,26,168,2.225309281725863,1.414973347970818
realism_0,zola,realism,zola_Zola-Marseille.epub,heures,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,trouva,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,foule,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,billets,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,dêtre,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,eu,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,bonne,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,visage,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,riche,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,milieu,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,député,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,moins,25,178,2.250420002308894,1.3979400086720377
realism_0,zola,realism,zola_Zola-Marseille.epub,nai,24,190,2.278753600952829,1.380211241711606
realism_0,zola,realism,zola_Zola-Marseille.epub,déjà,24,190,2.278753600952829,1.380211241711606
realism_0,zola,realism,zola_Zola-Marseille.epub,vieux,24,190,2.278753600952829,1.380211241711606
realism_0,zola,realism,zola_Zola-Marseille.epub,place,24,190,2.278753600952829,1.380211241711606
realism_0,zola,realism,zola_Zola-Marseille.epub,fuite,24,190,2.278753600952829,1.380211241711606
realism_0,zola,realism,zola_Zola-Marseille.epub,vais,24,190,2.278753600952829,1.380211241711606
